,Image,VideoIdx,FrameIdx,Class,t0
600,EmbryonVideoClassif/FramesRaw/V3/1.png,V3,1.png,0,23.75
601,EmbryonVideoClassif/FramesRaw/V3/2.png,V3,2.png,0,23.75
602,EmbryonVideoClassif/FramesRaw/V3/3.png,V3,3.png,0,23.75
603,EmbryonVideoClassif/FramesRaw/V3/4.png,V3,4.png,0,23.75
604,EmbryonVideoClassif/FramesRaw/V3/5.png,V3,5.png,0,23.75
605,EmbryonVideoClassif/FramesRaw/V3/6.png,V3,6.png,0,23.75
606,EmbryonVideoClassif/FramesRaw/V3/7.png,V3,7.png,0,23.75
607,EmbryonVideoClassif/FramesRaw/V3/8.png,V3,8.png,0,23.75
608,EmbryonVideoClassif/FramesRaw/V3/9.png,V3,9.png,0,23.75
609,EmbryonVideoClassif/FramesRaw/V3/10.png,V3,10.png,0,23.75
610,EmbryonVideoClassif/FramesRaw/V3/11.png,V3,11.png,0,23.75
611,EmbryonVideoClassif/FramesRaw/V3/12.png,V3,12.png,0,23.75
612,EmbryonVideoClassif/FramesRaw/V3/13.png,V3,13.png,0,23.75
613,EmbryonVideoClassif/FramesRaw/V3/14.png,V3,14.png,0,23.75
614,EmbryonVideoClassif/FramesRaw/V3/15.png,V3,15.png,0,23.75
615,EmbryonVideoClassif/FramesRaw/V3/16.png,V3,16.png,0,23.75
616,EmbryonVideoClassif/FramesRaw/V3/17.png,V3,17.png,0,23.75
617,EmbryonVideoClassif/FramesRaw/V3/18.png,V3,18.png,0,23.75
618,EmbryonVideoClassif/FramesRaw/V3/19.png,V3,19.png,0,23.75
619,EmbryonVideoClassif/FramesRaw/V3/20.png,V3,20.png,0,23.75
620,EmbryonVideoClassif/FramesRaw/V3/21.png,V3,21.png,0,23.75
621,EmbryonVideoClassif/FramesRaw/V3/22.png,V3,22.png,0,23.75
622,EmbryonVideoClassif/FramesRaw/V3/23.png,V3,23.png,0,23.75
623,EmbryonVideoClassif/FramesRaw/V3/24.png,V3,24.png,0,23.75
