,Image,VideoIdx,FrameIdx,Class,t0
600,EmbryonVideoClassif/Frames/V3/1.png,V3,1.png,0,23.75
601,EmbryonVideoClassif/Frames/V3/2.png,V3,2.png,0,23.75
602,EmbryonVideoClassif/Frames/V3/3.png,V3,3.png,0,23.75
603,EmbryonVideoClassif/Frames/V3/4.png,V3,4.png,0,23.75
604,EmbryonVideoClassif/Frames/V3/5.png,V3,5.png,0,23.75
605,EmbryonVideoClassif/Frames/V3/6.png,V3,6.png,0,23.75
606,EmbryonVideoClassif/Frames/V3/7.png,V3,7.png,0,23.75
607,EmbryonVideoClassif/Frames/V3/8.png,V3,8.png,0,23.75
608,EmbryonVideoClassif/Frames/V3/9.png,V3,9.png,0,23.75
609,EmbryonVideoClassif/Frames/V3/10.png,V3,10.png,0,23.75
610,EmbryonVideoClassif/Frames/V3/11.png,V3,11.png,0,23.75
611,EmbryonVideoClassif/Frames/V3/12.png,V3,12.png,0,23.75
612,EmbryonVideoClassif/Frames/V3/13.png,V3,13.png,0,23.75
613,EmbryonVideoClassif/Frames/V3/14.png,V3,14.png,0,23.75
614,EmbryonVideoClassif/Frames/V3/15.png,V3,15.png,0,23.75
615,EmbryonVideoClassif/Frames/V3/16.png,V3,16.png,0,23.75
616,EmbryonVideoClassif/Frames/V3/17.png,V3,17.png,0,23.75
617,EmbryonVideoClassif/Frames/V3/18.png,V3,18.png,0,23.75
618,EmbryonVideoClassif/Frames/V3/19.png,V3,19.png,0,23.75
619,EmbryonVideoClassif/Frames/V3/20.png,V3,20.png,0,23.75
620,EmbryonVideoClassif/Frames/V3/21.png,V3,21.png,0,23.75
621,EmbryonVideoClassif/Frames/V3/22.png,V3,22.png,0,23.75
622,EmbryonVideoClassif/Frames/V3/23.png,V3,23.png,0,23.75
623,EmbryonVideoClassif/Frames/V3/24.png,V3,24.png,0,23.75
624,EmbryonVideoClassif/Frames/V3/25.png,V3,25.png,0,23.75
625,EmbryonVideoClassif/Frames/V3/26.png,V3,26.png,0,23.75
626,EmbryonVideoClassif/Frames/V3/27.png,V3,27.png,0,23.75
627,EmbryonVideoClassif/Frames/V3/28.png,V3,28.png,0,23.75
628,EmbryonVideoClassif/Frames/V3/29.png,V3,29.png,0,23.75
629,EmbryonVideoClassif/Frames/V3/30.png,V3,30.png,0,23.75
630,EmbryonVideoClassif/Frames/V3/31.png,V3,31.png,0,23.75
631,EmbryonVideoClassif/Frames/V3/32.png,V3,32.png,0,23.75
632,EmbryonVideoClassif/Frames/V3/33.png,V3,33.png,0,23.75
